name,location,about,email,phone
ATG Europe,"Noordwijk, Netherlands","ATG Europe prides itself in employing Europe’s brightest minds, and for the last 40 years we have been a key player in delivering engineering services to the European space sector.
",contactus@atg-europe.com,+31 (0) 71 5795 500
Telespazio VEGA UK,"Capability Green, Luton LU1 3LU, UK","Telespazio VEGA UK is a dynamic and experienced consulting, technology and engineering services business based in Luton, UK. Following our merger into the Telespazio Group in 2011 we now have access to a vast array of world leading facilities and services, which we provide both within the UK and to our export markets. With a strong history in the European space arena starting in 1978, we have rich relationships across the space industry, with staff working closely with the European Space Agency (ESA) on programs and projects for over 35 years. ",careers@telespazio.com,+44 (0)1582 399000
Leafspace,"Lomazzo CO, Italy",Tailored services for microsatellites.  Leaf space was born in 2014 from a group of young engineers.,info@leaf.space,+39 02 36714624
Oxford Space Systems,"Didcot OX11 0QR, UK","Oxford Space Systems is an award-winning space technology business that's pioneering the development of a new generation of deployable structures that are lighter, less complex and lower cost than those in current commercial demand.",explore@oxfordspacesystems.com,+44 (0)1235 567 999
Zero 2 Infinity,"Marie Curie, 2, Nave 14, 08210, Barberà del Vallès, Barcelona, Spain","We are building a brighter future in which access to Space is frequent, affordable, secure and reliable for everyone. Our mission: enable people with a project and a passion to place themselves above the Earth in order to collect rich data, take high definition images, manage communications and more, much more.",marta.lebron@zero2infinity.space,+34 938 546 551
EUMETSAT,"Eumetsat Allee 1, 64291 Darmstadt, Germany","EUMETSAT is Europe's meteorological satellite agency. Our purpose is to gather accurate and reliable satellite data on weather, climate and the environment around the clock, and to deliver them to our Member and Cooperating States, to our international partners, and to users world-wide.",recruitment@eumetsat.int,+49 6151 807 7
Solenix GmbH,"Bornstrasse 3, 4616 Kappel, Switzerland","Solenix is a privately owned, independent and internationally active company providing engineering and consulting services in the space market. We have a track record of successful projects carried out with ESA, EUMETSAT, national space agencies and various aerospace companies, and have activities outside the aerospace market. In the software engineering domain, we are specialized in the implementation of distributed system and client applications, applying modern technologies and with a focus on the provision of performing, robust and light solutions.",career@solenix.ch,+41 62 216 35 02
ISIS - Innovative Solutions In Space,"Motorenweg 23, 2623 CR Delft, Netherlands","ISIS – Innovative Solutions In Space BV is a vertically integrated small satellite company, focused on providing high value, cost effective space solutions by making use of the latest innovative technologies. The company is focused on nanosatellites in the range of 1 to 30 kilograms. As one of Europe’s leaders in the nanosatellite domain, ISIS offers contract research, innovative small satellite parts, sub-systems and platforms as well as turnkey space solutions to a broad range of customers for small satellite missions and applications. ISIS supports nanosatellites throughout their lifecycle and as such is an active player in the domains of system level testing, launch services and operations of nanosatellites. 

Based in the Netherlands, ISIS employs over 75 specialist employees, all of which have a background in space technology and engineering, and operates from its main site on the high tech campus of Delft. At this site, ISIS also has its assembly, integration and test facilities that include a class 10,000 (ISO 7) integration cleanroom and a broad range of (environmental) test equipment and  development labs. In addition, ISIS has a development branch office in South Africa, in Somerset West and the company has an international network of partners and reseller agents. ",info@isispace.nl,+31(0)152569018
Rippleaerospace,"Vestre Strandgate 19B, 4611 Kristiansand, Norway","Ripple Aerospace is an Norwegian Aerospace startup designing, manufacturing and launching advanced oceanic cargo rockets. Inspired by NASA’s Sea Dragon program and Norway’s maritime heritage, Ripple’s team has been developing the Sea Serpent rocket class since 2014 and established Ripple Aerospace in 2016 to commercialize the first oceanic launch system. Our aim is to bring to market a reusable, mobile and mass produced rocket capable of being launched in any maritime environment around the global.

The Sea Serpent team is comprised of a diverse group of rocket scientists, engineers, shipbuilders and space operators from companies in Norway, United States, and Australia with the unifying goal of developing Sea Serpent rockets. ",kristoffer@rippleaerospace.com,(+47) 90569963
SpaceVR,"San Francisco, CA, USA","SpaceVR was started to transform productivity and enhance our perspective of our place in the universe using Virtual Reality (VR). Our first product - literally launching in Q4 of 2017 is Overview 1, a 3U CubeSat that transmits 360 degree video from outside of the International Space station to clients on Earth enabling everyone to experience the “Overview Effect” - a cognitive shift in awareness, reported by some astronauts and cosmonauts during spaceflight, often while viewing the earth from orbit or from the lunar surface. It explains the life changing experience gained from seeing first-hand the reality of the Earth in space. SpaceVR's second product Human builds upon this VR infrastructure to enable space settlement via increased human capability and job productivity on Earth.",blaze@spacevr.co,4159103307
