price,created_at,delivery_status
36.18,1621442733414,3
55.11,1620106182418,2
182.09,1625307219740,1
204.95,1628043945252,2
30.43,1624371562647,2
97.3,1628790578278,1
18.6,1626267330814,1
140.44,1631781972487,1
57.69,1619890094747,2
203.73,1623483296000,2
72.46,1626038379479,1
174.57,1631425173117,3
181.38,1626197857024,2
64.95,1620842314182,1
21.5,1630050933641,1
199.11,1624216359595,2
22.77,1632053187465,3
65.49,1629577702131,1
88.3,1621586036159,1
131.79,1628571684052,3
222.6,1631233334640,2
158.12,1624975235884,2
15.23,1633429987023,1
91.71,1625091209490,1
105.47,1621323695346,1
25.81,1630364760105,1
26.96,1627433586793,2
29.78,1624915692128,2
30.96,1626159520471,2
52.67,1624582992557,1
1.13,1632249902404,1
27.25,1621554585767,3
133.88,1621518271841,1
120.13,1623120578231,2
149.65,1633823365301,2
200.74,1625673283182,1
10.04,1626321072212,3
170.57,1626164128045,3
151.41,1625415312448,2
16.78,1621584852738,2
67.23,1623976519361,3
160.3,1629518977432,1
97.75,1621247960681,1
152.18,1627318615466,3
24.91,1624817189250,1
77.91,1630455596329,3
58.5,1627144959498,3
84.17,1622824949918,2
39.95,1631847302328,3
74.73,1629370494902,3
106.57,1626231368015,2
15.09,1620027240411,1
137.42,1622702596010,2
74.68,1627813116521,1
11.47,1633720871194,2
177.3,1633638485075,2
186.13,1630327522008,2
103.09,1624890065626,2
2.45,1622747942775,2
216.83,1624227415151,3
20.21,1630786357158,3
122.22,1622952392379,2
27.96,1627987984192,3
132.89,1620380835762,3
151.21,1623814099982,1
146.36,1620910415124,1
172.88,1628295722461,1
29.0,1626095171901,2
48.8,1630622619530,1
115.48,1631262475959,3
78.5,1630485098070,3
161.16,1625043830720,1
2.97,1619902104997,1
62.19,1627137450107,2
51.52,1624547936651,2
179.1,1633226513910,3
154.68,1630260470482,3
22.19,1623584011352,1
47.21,1631563196227,3
168.66,1632367318233,2
24.79,1627044805600,3
31.65,1626316819939,2
65.59,1621329767689,3
86.55,1632055103860,2
108.21,1621190341039,2
18.88,1620699384536,3
184.61,1628691825056,3
101.04,1623722730385,3
193.77,1631188551124,1
117.07,1621226149986,3
22.78,1633412376165,1
3.59,1623013454177,3
196.8,1628015212747,2
157.35,1627734262269,1
152.81,1624643805324,2
36.17,1628693866348,1
22.47,1631995037766,1
219.56,1625175287980,3
43.7,1629653933822,2
10.54,1627991491047,1
85.45,1626187386430,3
143.56,1628341679804,1
17.34,1628826778799,1
218.3,1627411316913,2
130.87,1622390417002,1
20.68,1631900933348,2
186.11,1624112442380,3
74.46,1628908381255,1
10.51,1630519558163,3
192.93,1624407529529,1
34.74,1629664071829,3
89.75,1626936243483,1
109.22,1633870262475,1
6.32,1621100101788,2
222.48,1621543375492,2
31.52,1623334693415,2
70.99,1627414234109,3
18.58,1628537697832,1
198.51,1628583608822,1
14.68,1627771044218,3
84.3,1622014173085,2
134.29,1625196901967,1
38.83,1631955597090,2
10.29,1620446797427,3
149.09,1632434798413,2
78.24,1625200629811,1
77.12,1627841572600,1
46.81,1623055151396,3
138.92,1631686171842,1
165.25,1633311591535,1
120.78,1632233511566,3
138.77,1627667261989,3
117.64,1629920164867,2
204.75,1629479335245,2
67.99,1631443784852,3
42.62,1631013164447,1
233.87,1623286530829,2
52.68,1632005895577,3
74.96,1621470270270,1
62.79,1629245879242,2
174.22,1621220695977,2
27.55,1624690445430,3
185.71,1631940058195,3
285.87,1621568511716,1
45.33,1630687983184,3
193.76,1628947478261,2
130.26,1627958854388,2
18.84,1626330360869,2
50.57,1631510599118,1
248.42,1625804722009,3
114.56,1633379534499,1
261.47,1620919264005,3
1.08,1632513429174,1
109.8,1633612839135,2
125.83,1631548595155,1
58.03,1621511996997,1
120.15,1621423738179,2
37.4,1622889147093,1
77.34,1631607394395,3
75.52,1622738565014,3
227.87,1620526495850,3
98.62,1631814146614,2
109.34,1628757014443,2
12.78,1633201095120,3
72.31,1629233847664,1
135.2,1630427867529,3
9.13,1632505546150,2
10.08,1625797521225,1
107.02,1632352283640,1
0.74,1626816266605,2
93.1,1621691903512,3
217.84,1628654151552,3
23.45,1622996036079,3
103.14,1630182422325,3
48.65,1622128399029,3
67.67,1627502711156,3
116.75,1620090126323,1
25.73,1625992783236,3
33.71,1631503472139,1
8.33,1622087982957,3
9.6,1627540140036,2
16.01,1626580918351,3
159.56,1625885256687,3
2.37,1629440620476,2
88.23,1630393088841,2
37.19,1631348757185,3
32.02,1628849157259,2
38.98,1620326743098,2
148.77,1623778678450,2
88.28,1621486154656,3
112.38,1624841019368,3
52.45,1627615696788,2
157.0,1627943350400,1
12.95,1623576005075,1
15.3,1622538206398,1
45.73,1627028534620,3
69.53,1628238316561,2
158.14,1630913859819,1
219.89,1633845802925,3
50.79,1628912433006,1
50.14,1622047621107,3
253.56,1633728274306,3
85.66,1628805245188,2
56.9,1632867133654,1
93.64,1624771839677,1
90.09,1621797223172,2
26.14,1626471080176,2
11.06,1625816538946,3
37.96,1623912873265,3
74.34,1629033901797,3
79.04,1629386068107,1
228.2,1622512603226,2
65.21,1632389040289,1
